Ref,Val,Package,PosX,PosY,Rot,Side
"U67","MCP1824T-1202E/OT","SOT-23-5",213.670000,-177.252500,90.000000,bottom
"U68","MCP1824T-1202E/OT","SOT-23-5",213.630000,-163.362500,90.000000,bottom
"U69","MCP1824T-0802E","SOT-23-5",213.670000,-186.062500,90.000000,bottom
"U70","MCP1824T-0802E","SOT-23-5",213.670000,-172.352500,90.000000,bottom
"U71","MCP1824T-0802E","SOT-23-5",213.630000,-158.462500,90.000000,bottom
"C1","82uF","PCAP_SVP_E12_PAN",166.550000,-104.653500,-90.000000,top
"C2","0.1uF","C_0805_2012Metric",124.740000,-95.810000,180.000000,top
"C3","82uF","PCAP_SVP_E12_PAN",175.660000,-104.635600,-90.000000,top
"C4","82uF","PCAP_SVP_E12_PAN",198.240000,-104.595600,-90.000000,top
"C5","1uF","C_0805_2012Metric",130.600000,-99.080000,-90.000000,top
"C6","820pF","C_0805_2012Metric",136.460000,-85.160000,90.000000,top
"C7","0.015uF","C_0805_2012Metric",138.600000,-85.160000,90.000000,top
"C8","0.47uF","C_0805_2012Metric",141.850000,-89.770000,0.000000,top
"C9","0.015uF","C_0805_2012Metric",139.130000,-96.430000,0.000000,top
"C10","820pF","C_0805_2012Metric",133.970000,-100.450000,180.000000,top
"C11","0.015uF","C_0805_2012Metric",144.790000,-89.080000,90.000000,top
"C12","330pF","C_0805_2012Metric",141.865000,-93.450000,180.000000,top
"C13","0.22uF","C_0805_2012Metric",129.313949,-95.524843,-90.000000,top
"C14","1uF","C_0805_2012Metric",132.440000,-85.140000,-90.000000,top
"C15","0.22uF","C_0805_2012Metric",129.350000,-90.110000,90.000000,top
"C16","470uF","CHEMI-H80",162.250000,-131.527400,90.000000,top
"C17","470uF","CHEMI-H80",171.300000,-131.550000,90.000000,top
"C18","470uF","CHEMI-H80",202.743700,-131.575000,180.000000,top
"C19","1uF","C_0805_2012Metric",147.980000,-91.210000,-90.000000,top
"C20","1uF","C_0805_2012Metric",152.810000,-96.730000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",230.300000,-139.360000,90.000000,top
"C22","0.1uF","C_0402_1005Metric",231.580000,-137.670000,180.000000,top
"C24","0.1uF","C_0402_1005Metric",175.135000,-142.925000,90.000000,top
"C25","0.022uF","C_0402_1005Metric",176.320000,-94.975000,0.000000,top
"C26","1uF","C_0805_2012Metric",179.150000,-134.250000,0.000000,top
"C27","0.1uF","C_0805_2012Metric",179.150000,-131.870000,0.000000,top
"C28","1000pF","C_0805_2012Metric",162.590000,-111.420000,0.000000,top
"C29","4700pF","C_0805_2012Metric",201.410000,-110.570000,180.000000,top
"C30","1000pF","C_0805_2012Metric",150.800000,-100.550000,90.000000,top
"C31","1000pF","C_0805_2012Metric",144.900000,-101.200000,90.000000,top
"C32","0.1uF","C_0402_1005Metric",227.220000,-143.290000,0.000000,top
"C33","100pF","C_0402_1005Metric",224.000000,-145.040000,90.000000,top
"C34","4.7uF","C_0805_2012Metric",162.275000,-92.375000,90.000000,top
"C35","0.1uF","C_0805_2012Metric",171.100000,-92.150000,-90.000000,top
"C90","1uF","C_0402_1005Metric",229.843700,-93.030000,-90.000000,top
"C96","30pF","C_0402_1005Metric",223.670807,-105.330000,-90.000000,top
"C97","30pF","C_0402_1005Metric",218.900807,-104.185000,90.000000,top
